iter	RMSE
0	4.61610877
1	4.606819499
2	4.59930945
3	4.591812135
4	4.583700184
5	4.575673506
6	4.567580739
7	4.561203506
8	4.553539294
9	4.546875228
10	4.540066826
11	4.534583859
12	4.528276568
13	4.522604157
14	4.516961916
15	4.512748743
16	4.508137628
17	4.50253355
18	4.498860695
19	4.494071631
20	4.489789064
21	4.48550958
22	4.481656375
23	4.476866795
24	4.473119624
25	4.469791704
26	4.466289341
27	4.463233917
28	4.459828559
29	4.457068886
30	4.453571768
31	4.451374965
32	4.448874927
33	4.446196996
34	4.443247127
35	4.441249171
36	4.437871827
37	4.435518196
38	4.432827075
39	4.430979311
40	4.428706091
41	4.426283408
42	4.424493565
43	4.422281268
44	4.420104657
45	4.419255484
46	4.417707537
47	4.416405528
48	4.414570135
49	4.412777502
50	4.411815433
51	4.409610744
52	4.408536805
53	4.407265115
54	4.405665415
55	4.403998652
56	4.402702851
57	4.401571854
58	4.400523804
59	4.39909282
60	4.397687223
61	4.396059677
62	4.394745528
63	4.393572685
64	4.392856216
65	4.391244002
66	4.390658588
67	4.389371207
68	4.38798624
69	4.386960497
70	4.386020806
71	4.384696526
72	4.383403721
73	4.382658813
74	4.381564698
75	4.380758455
76	4.379694789
77	4.378887231
78	4.377672898
79	4.37674797
80	4.37574068
81	4.375146807
82	4.374273496
83	4.373644523
84	4.372280503
85	4.371747041
86	4.370832706
87	4.369972466
88	4.369268934
89	4.36852426
90	4.367836362
91	4.367231706
92	4.366878824
93	4.366052341
94	4.36605229
95	4.364669454
96	4.364048409
97	4.363492811
98	4.362528623
99	4.361961477
100	4.360835912
101	4.360186068
102	4.359463099
103	4.358150637
104	4.357533112
105	4.356615056
106	4.355646645
107	4.355166888
108	4.354639378
109	4.353556968
110	4.352713907
111	4.352193994
112	4.351851073
113	4.351260757
114	4.350588324
115	4.349836756
116	4.348813146
117	4.347842986
118	4.347506957
119	4.347439212
120	4.346028793
121	4.345233218
122	4.344399257
123	4.343830117
