iter	Passed	Remaining
0	28	14111
1	64	15979
2	92	15390
3	122	15158
4	150	14853
5	177	14608
6	203	14351
7	228	14074
8	254	13896
9	280	13729
10	307	13661
11	332	13505
12	358	13436
13	387	13458
14	412	13352
15	438	13258
16	463	13154
17	489	13105
18	514	13014
19	541	12988
20	570	13008
21	600	13053
22	634	13153
23	665	13202
24	694	13199
25	724	13213
26	754	13226
27	786	13252
28	814	13228
29	843	13214
30	869	13155
31	897	13126
32	926	13105
33	954	13077
34	984	13075
35	1013	13062
36	1047	13102
37	1075	13080
38	1106	13081
39	1137	13077
40	1169	13090
41	1197	13056
42	1227	13041
43	1255	13011
44	1284	12992
45	1299	12829
46	1327	12792
47	1354	12752
48	1382	12728
49	1408	12679
50	1438	12663
51	1468	12655
52	1501	12662
53	1529	12635
54	1560	12627
55	1592	12626
56	1624	12622
57	1651	12583
58	1680	12560
59	1709	12534
60	1739	12519
61	1770	12508
62	1801	12494
63	1829	12462
64	1859	12443
65	1888	12419
66	1907	12324
67	1935	12297
68	1964	12270
69	1993	12245
70	2022	12220
71	2058	12237
72	2090	12229
73	2120	12206
74	2151	12191
75	2179	12160
76	2208	12134
77	2237	12102
78	2263	12064
79	2292	12036
80	2322	12013
81	2351	11986
82	2380	11958
83	2408	11929
84	2439	11912
85	2468	11881
86	2497	11856
87	2525	11825
88	2552	11785
89	2582	11762
90	2612	11739
91	2639	11705
92	2667	11674
93	2697	11648
94	2707	11541
95	2734	11509
96	2763	11482
97	2791	11451
98	2819	11420
99	2846	11387
100	2874	11355
101	2903	11327
102	2932	11302
103	2964	11286
104	2992	11259
105	3025	11244
106	3055	11223
107	3085	11199
108	3115	11176
109	3150	11168
110	3178	11139
111	3208	11116
112	3241	11101
113	3271	11078
114	3301	11051
115	3329	11023
116	3359	10998
117	3386	10963
118	3412	10925
119	3423	10841
120	3450	10806
121	3478	10777
122	3510	10760
123	3545	10749
124	3577	10732
125	3612	10721
126	3648	10714
127	3679	10694
128	3709	10668
129	3740	10644
130	3771	10622
131	3800	10594
132	3832	10575
133	3861	10548
134	3890	10519
135	3920	10492
136	3948	10461
137	3976	10431
138	4006	10405
139	4039	10387
140	4066	10354
141	4093	10321
142	4122	10290
143	4150	10262
144	4171	10212
145	4197	10178
146	4224	10144
147	4254	10118
148	4283	10091
149	4312	10061
150	4339	10030
151	4369	10003
152	4397	9973
153	4428	9949
154	4458	9922
155	4486	9894
156	4514	9863
157	4544	9836
158	4573	9808
159	4602	9781
160	4617	9722
161	4645	9692
162	4673	9661
163	4699	9629
164	4727	9597
165	4755	9568
166	4775	9522
167	4804	9494
168	4831	9462
169	4863	9440
170	4890	9409
171	4918	9378
172	4945	9347
173	4972	9316
174	4999	9285
175	5010	9223
176	5036	9190
177	5066	9165
178	5092	9131
179	5119	9101
180	5146	9069
181	5174	9040
182	5202	9011
183	5228	8979
184	5254	8947
185	5281	8915
186	5290	8855
187	5315	8821
188	5345	8795
189	5373	8767
190	5403	8741
191	5430	8711
192	5458	8681
193	5486	8654
194	5516	8627
195	5546	8602
196	5575	8574
197	5606	8550
198	5635	8524
199	5665	8498
200	5676	8443
201	5706	8419
202	5735	8390
203	5742	8332
204	5771	8305
205	5800	8278
206	5829	8251
207	5858	8223
208	5887	8196
209	5917	8172
210	5945	8143
211	5973	8115
212	6001	8086
213	6029	8058
214	6062	8036
215	6089	8006
216	6116	7977
217	6143	7946
218	6171	7918
219	6199	7890
220	6228	7862
221	6255	7833
222	6282	7803
223	6308	7772
224	6335	7743
225	6364	7716
226	6383	7677
227	6413	7651
228	6432	7612
229	6443	7563
230	6471	7536
231	6501	7509
232	6527	7480
233	6557	7454
234	6568	7407
235	6595	7377
236	6601	7325
237	6628	7297
238	6639	7250
239	6667	7223
240	6695	7195
241	6725	7170
242	6756	7145
243	6785	7119
244	6815	7093
245	6842	7065
246	6857	7024
247	6886	6997
248	6913	6969
249	6944	6944
250	6973	6917
251	7001	6890
252	7029	6862
253	7058	6836
254	7085	6807
255	7114	6781
256	7143	6754
257	7172	6727
258	7201	6700
259	7229	6673
260	7257	6646
261	7286	6618
262	7315	6592
263	7344	6565
264	7373	6538
265	7402	6512
266	7430	6484
267	7459	6457
268	7488	6430
269	7516	6403
270	7544	6375
271	7571	6346
272	7600	6319
273	7629	6293
274	7658	6266
275	7692	6243
276	7724	6218
277	7758	6195
278	7791	6171
279	7823	6147
280	7855	6122
281	7882	6093
282	7911	6066
283	7939	6038
284	7968	6011
285	7997	5984
286	8025	5956
287	8058	5932
288	8087	5905
289	8117	5877
290	8145	5850
291	8174	5822
292	8201	5794
293	8229	5766
294	8258	5738
295	8288	5712
296	8316	5684
297	8345	5656
298	8374	5629
299	8404	5603
300	8433	5575
301	8463	5549
302	8490	5519
303	8517	5491
304	8543	5462
305	8572	5434
306	8601	5407
307	8630	5379
308	8659	5352
309	8687	5324
310	8715	5296
311	8743	5268
312	8772	5241
313	8803	5215
314	8823	5181
315	8852	5154
316	8882	5127
317	8910	5099
318	8940	5072
319	8969	5045
320	8998	5017
321	9027	4990
322	9058	4963
323	9086	4936
324	9115	4908
325	9144	4880
326	9173	4853
327	9202	4825
328	9229	4797
329	9257	4768
330	9287	4741
331	9314	4713
332	9343	4685
333	9371	4657
334	9397	4628
335	9426	4601
336	9456	4573
337	9484	4545
338	9512	4517
339	9540	4489
340	9568	4461
341	9598	4434
342	9625	4405
343	9652	4377
344	9681	4349
345	9710	4321
346	9738	4293
347	9768	4266
348	9797	4238
349	9823	4210
350	9850	4181
351	9879	4154
352	9908	4126
353	9937	4098
354	9965	4070
355	9992	4042
356	10021	4014
357	10050	3986
358	10080	3959
359	10109	3931
360	10139	3904
361	10170	3877
362	10199	3849
363	10228	3821
364	10256	3793
365	10285	3765
366	10314	3737
367	10340	3708
368	10366	3680
369	10396	3652
370	10423	3624
371	10451	3596
372	10477	3567
373	10504	3539
374	10533	3511
375	10562	3483
376	10591	3455
377	10619	3427
378	10646	3398
379	10675	3371
380	10702	3342
381	10728	3314
382	10756	3285
383	10785	3258
384	10814	3230
385	10845	3203
386	10872	3174
387	10902	3147
388	10930	3119
389	10958	3090
390	10987	3062
391	11013	3034
392	11042	3006
393	11090	2983
394	11134	2959
395	11162	2931
396	11193	2904
397	11222	2876
398	11251	2848
399	11279	2819
400	11307	2791
401	11336	2763
402	11364	2735
403	11392	2707
404	11420	2678
405	11449	2650
406	11477	2622
407	11505	2594
408	11532	2565
409	11559	2537
410	11590	2509
411	11617	2481
412	11647	2453
413	11676	2425
414	11706	2397
415	11736	2369
416	11764	2341
417	11794	2313
418	11824	2285
419	11854	2258
420	11887	2230
421	11921	2203
422	11952	2175
423	11987	2148
424	12020	2121
425	12051	2093
426	12081	2065
427	12109	2037
428	12138	2009
429	12167	1980
430	12196	1952
431	12225	1924
432	12254	1896
433	12282	1867
434	12309	1839
435	12337	1811
436	12366	1782
437	12395	1754
438	12425	1726
439	12454	1698
440	12483	1670
441	12512	1641
442	12541	1613
443	12568	1585
444	12596	1556
445	12622	1528
446	12650	1499
447	12678	1471
448	12706	1443
449	12733	1414
450	12761	1386
451	12792	1358
452	12821	1330
453	12849	1301
454	12877	1273
455	12904	1245
456	12934	1216
457	12963	1188
458	12992	1160
459	13022	1132
460	13053	1104
461	13083	1076
462	13113	1047
463	13144	1019
464	13173	991
465	13202	963
466	13229	934
467	13259	906
468	13288	878
469	13316	849
470	13344	821
471	13372	793
472	13398	764
473	13427	736
474	13455	708
475	13482	679
476	13509	651
477	13541	623
478	13573	595
479	13602	566
480	13630	538
481	13657	510
482	13685	481
483	13711	453
484	13738	424
485	13770	396
486	13802	368
487	13831	340
488	13860	311
489	13892	283
490	13920	255
491	13950	226
492	13978	198
493	14006	170
494	14035	141
495	14067	113
496	14098	85
497	14128	56
498	14162	28
499	14190	0
